IdBot;NomeBot;IdOrdem;Data;Stake;Odd;Tipo;PL;Selecao;IdSelecao
115;OVER 0.5 HT [2.02- 2.5];283531282140;2022-10-08T16:54:25.133Z;2;2.04;BACK;-2;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283531860652;2022-10-08T16:58:24.950Z;2;2.08;BACK;2.16;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283536601698;2022-10-08T17:24:56.781Z;2;2.06;BACK;2.12;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283552761550;2022-10-08T19:08:13.212Z;2;2.08;BACK;2.16;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283553591401;2022-10-08T19:14:11.242Z;2;2;BACK;-2;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283553808817;2022-10-08T19:15:41.093Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283553884215;2022-10-08T19:16:11.248Z;2;2.22;BACK;-2;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283554309336;2022-10-08T19:19:13.305Z;2;2.02;BACK;2.04;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283554615147;2022-10-08T19:21:11.551Z;2;2.3;BACK;-2;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283555612078;2022-10-08T19:28:43.229Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283557398692;2022-10-08T19:41:13.092Z;2;2.06;BACK;2.12;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283567314747;2022-10-08T21:32:45.166Z;2;2.04;BACK;-2;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283567939658;2022-10-08T21:41:46.326Z;2;2.06;BACK;-2;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283568170017;2022-10-08T21:45:15.221Z;2;2.02;BACK;2.04;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283568348742;2022-10-08T21:48:15.024Z;2;2.04;BACK;2.08;Over 0.5 Goals;5851483
115;OVER 0.5 HT [2.02- 2.5];283569773827;2022-10-08T22:12:45.272Z;2;2.06;BACK;-2;Over 0.5 Goals;5851483
