ID do Bot;Nome do Bot;ID da ordem;Data;Stake;Odd;Tipo;P/L;Seleção;ID da Seleção;Evento;ID do Evento;Mercado;ID do Mercado;Tipo do Mercado
63;OVER 0.5 HT [2.02- 2.5];276603182805;2022-08-10T00:52:07.222Z;2;2.1;BACK;2.2;Over 0.5 Goals;5851483;Independiente (Ecu) v Deportivo Tachira;31638419;FIRST_HALF_GOALS_05;1.201726630;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276603334287;2022-08-10T00:54:33.990Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;Flamengo v Corinthians;31634436;FIRST_HALF_GOALS_05;1.201682872;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276873224622;2022-08-12T18:59:31.304Z;2;2.16;BACK;2.32;Over 0.5 Goals;5851483;Freiburg v Dortmund;31537563;FIRST_HALF_GOALS_05;1.200312726;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276877505867;2022-08-12T19:22:32.899Z;2;2.1;BACK;-2;Over 0.5 Goals;5851483;Levante v Huesca;31641756;FIRST_HALF_GOALS_05;1.201786701;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276878067537;2022-08-12T19:25:30.677Z;2;2.48;BACK;2.96;Over 0.5 Goals;5851483;Watford v Burnley;31626137;FIRST_HALF_GOALS_05;1.201554489;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276889744331;2022-08-12T22:11:54.193Z;2;2.06;BACK;-2;Over 0.5 Goals;5851483;Vila Nova v Londrina;31645531;FIRST_HALF_GOALS_05;1.201826233;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276890121617;2022-08-12T22:19:54.147Z;2;2.06;BACK;2.12;Over 0.5 Goals;5851483;Plaza Colonia v Cerro Largo FC;31648294;FIRST_HALF_GOALS_05;1.201887038;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276896587077;2022-08-13T00:47:24.722Z;2;2.04;BACK;2.08;Over 0.5 Goals;5851483;Brusque FC v Ponte Preta;31645204;FIRST_HALF_GOALS_05;1.201820154;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276896719110;2022-08-13T00:49:54.826Z;2;2.04;BACK;-2;Over 0.5 Goals;5851483;Bahia v Ituano;31645205;FIRST_HALF_GOALS_05;1.201820044;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276910023729;2022-08-13T05:28:28.819Z;2;2.02;BACK;2.04;Over 0.5 Goals;5851483;Sapporo v Kobe;31643281;FIRST_HALF_GOALS_05;1.201787638;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276918310810;2022-08-13T08:11:32.172Z;2;2.08;BACK;-2;Over 0.5 Goals;5851483;Guangxi Baoyun v Shaanxi Changan Athletic;31657929;FIRST_HALF_GOALS_05;1.202013469;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276918719065;2022-08-13T08:16:31.688Z;2;2.08;BACK;2.16;Over 0.5 Goals;5851483;Nanjing Fengfan v Sichuan Jiuniu FC;31658081;FIRST_HALF_GOALS_05;1.202013379;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276939559237;2022-08-13T11:23:43.310Z;2;2.08;BACK;2.16;Over 0.5 Goals;5851483;Arminia Bielefeld v Hamburger SV;31643541;FIRST_HALF_GOALS_05;1.201790851;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276944317805;2022-08-13T11:55:41.132Z;2;2.04;BACK;2.08;Over 0.5 Goals;5851483;Bristol Rovers v Oxford Utd;31641318;FIRST_HALF_GOALS_05;1.201763502;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276967146251;2022-08-13T14:02:11.821Z;2;2.06;BACK;2.12;Over 0.5 Goals;5851483;RB Leipzig v FC Koln;31539142;FIRST_HALF_GOALS_05;1.200330241;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276973407268;2022-08-13T14:21:09.548Z;2;2.28;BACK;-2;Over 0.5 Goals;5851483;Operario PR v Sampaio Correa FC;31647327;FIRST_HALF_GOALS_05;1.201885056;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276973689743;2022-08-13T14:22:07.656Z;2;2.06;BACK;-2;Over 0.5 Goals;5851483;Blackpool v Swansea;31636322;FIRST_HALF_GOALS_05;1.201694494;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276974020085;2022-08-13T14:23:12.340Z;2;2.06;BACK;2.12;Over 0.5 Goals;5851483;Sunderland v QPR;31629040;FIRST_HALF_GOALS_05;1.201599236;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276974025867;2022-08-13T14:23:13.243Z;2;2.14;BACK;-2;Over 0.5 Goals;5851483;Lincoln v Forest Green;31641324;FIRST_HALF_GOALS_05;1.201762962;FIRST_HALF_GOALS_05
