IdBot;NomeBot;IdOrdem;Data;Stake;Odd;Tipo;PL;Selecao;IdSelecao
62;OVER 0.5 HT [1.71- 2];2.77014E+11;2022-08-13T17:14:00.799Z;2;1.7;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77014E+11;2022-08-13T17:18:00.964Z;2;2;BACK;2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77016E+11;2022-08-13T17:24:31.385Z;2;1.71;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77025E+11;2022-08-13T18:17:30.673Z;2;1.78;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77027E+11;2022-08-13T18:23:31.063Z;2;1.72;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77031E+11;2022-08-13T18:48:03.380Z;2;1.95;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77033E+11;2022-08-13T18:59:32.212Z;2;1.76;BACK;1.52;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77033E+11;2022-08-13T19:01:01.258Z;2;1.72;BACK;1.44;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77033E+11;2022-08-13T19:01:01.448Z;2;1.89;BACK;1.78;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77035E+11;2022-08-13T19:07:33.094Z;2;1.99;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77035E+11;2022-08-13T19:11:32.795Z;2;1.81;BACK;1.62;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77038E+11;2022-08-13T19:25:02.297Z;2;1.75;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77038E+11;2022-08-13T19:27:03.855Z;2;1.71;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77041E+11;2022-08-13T19:43:02.093Z;2;1.73;BACK;1.46;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77042E+11;2022-08-13T19:52:01.694Z;2;1.72;BACK;1.44;Over 0.5 Goals;5851483
