IdBot;NomeBot;IdOrdem;Data;Stake;Odd;Tipo;PL;Selecao;IdSelecao
113;OVER 0.5 HT [1.48- 1.7];283413677913;2022-10-08T05:16:36.788Z;2;1.54;BACK;1.08;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283418721424;2022-10-08T06:15:37.587Z;2;1.5;BACK;1;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283445654693;2022-10-08T10:45:09.857Z;2;1.63;BACK;1.26;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283449207262;2022-10-08T11:11:17.132Z;2;1.57;BACK;1.14;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283449569743;2022-10-08T11:13:41.139Z;2;1.51;BACK;-2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283449653968;2022-10-08T11:14:11.242Z;2;1.53;BACK;-2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283450138549;2022-10-08T11:14:11.242Z;1.91;1.6;LAY;1.91;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283454659247;2022-10-08T11:44:40.458Z;2;1.51;BACK;1.02;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283459722246;2022-10-08T12:12:42.431Z;2;1.61;BACK;-2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283473399149;2022-10-08T13:11:24.862Z;2;1.49;BACK;0.98;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283481740408;2022-10-08T13:42:15.678Z;2;1.6;BACK;1.2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283481882887;2022-10-08T13:42:47.634Z;2;1.61;BACK;-2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283482384357;2022-10-08T13:44:46.438Z;2;1.6;BACK;1.2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283482525825;2022-10-08T13:45:17.139Z;2;1.53;BACK;1.06;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283490314749;2022-10-08T14:12:50.492Z;2;1.6;BACK;-2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283490728718;2022-10-08T14:13:58.338Z;2;1.68;BACK;1.36;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283490728973;2022-10-08T14:13:58.369Z;2;1.63;BACK;1.26;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283490729019;2022-10-08T14:13:58.426Z;2;1.69;BACK;-2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283490729055;2022-10-08T14:13:58.458Z;2;1.69;BACK;-2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283490917644;2022-10-08T14:14:27.470Z;2;1.55;BACK;1.1;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283492545373;2022-10-08T14:18:55.734Z;2;1.62;BACK;1.24;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283497279975;2022-10-08T14:32:27.054Z;2;1.69;BACK;-2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283500629039;2022-10-08T14:42:59.360Z;2;1.65;BACK;1.3;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283508828353;2022-10-08T15:14:28.080Z;2;1.48;BACK;0.96;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283509178365;2022-10-08T15:15:34.379Z;2;1.5;BACK;-2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283509767100;2022-10-08T15:17:33.938Z;2;1.48;BACK;-2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283524434223;2022-10-08T16:15:55.793Z;2;1.65;BACK;1.3;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283529689851;2022-10-08T16:43:56.649Z;2;1.65;BACK;-2;Over 0.5 Goals;5851483
113;OVER 0.5 HT [1.48- 1.7];283530011000;2022-10-08T16:45:55.943Z;2;1.51;BACK;1.02;Over 0.5 Goals;5851483
