ID do Bot;Nome do Bot;ID da ordem;Data;Stake;Odd;Tipo;P/L;Seleção;ID da Seleção;Evento;ID do Evento;Mercado;ID do Mercado;Tipo do Mercado
62;OVER 0.5 HT [1.71- 2];276602767292;2022-08-10T00:45:33.810Z;2;1.76;BACK;-2;Over 0.5 Goals;5851483;Flamengo v Corinthians;31634436;FIRST_HALF_GOALS_05;1.201682872;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276875536286;2022-08-12T19:12:30.006Z;2;1.78;BACK;1.56;Over 0.5 Goals;5851483;Watford v Burnley;31626137;FIRST_HALF_GOALS_05;1.201554489;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276876160539;2022-08-12T19:15:30.325Z;2;1.77;BACK;-2;Over 0.5 Goals;5851483;Levante v Huesca;31641756;FIRST_HALF_GOALS_05;1.201786701;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276896171774;2022-08-13T00:40:56.622Z;2;1.77;BACK;-2;Over 0.5 Goals;5851483;Bahia v Ituano;31645205;FIRST_HALF_GOALS_05;1.201820044;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276896171895;2022-08-13T00:40:56.739Z;2;1.89;BACK;1.78;Over 0.5 Goals;5851483;Brusque FC v Ponte Preta;31645204;FIRST_HALF_GOALS_05;1.201820154;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276909667132;2022-08-13T05:20:58.576Z;2;1.74;BACK;1.48;Over 0.5 Goals;5851483;Sapporo v Kobe;31643281;FIRST_HALF_GOALS_05;1.201787638;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276918310719;2022-08-13T08:11:32.049Z;2;1.86;BACK;1.72;Over 0.5 Goals;5851483;Nanjing Fengfan v Sichuan Jiuniu FC;31658081;FIRST_HALF_GOALS_05;1.202013379;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276938782448;2022-08-13T11:18:14.029Z;2;1.8;BACK;1.6;Over 0.5 Goals;5851483;Arminia Bielefeld v Hamburger SV;31643541;FIRST_HALF_GOALS_05;1.201790851;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276943589162;2022-08-13T11:50:10.767Z;2;1.79;BACK;1.58;Over 0.5 Goals;5851483;Bristol Rovers v Oxford Utd;31641318;FIRST_HALF_GOALS_05;1.201763502;FIRST_HALF_GOALS_05
62;OVER 0.5 HT [1.71- 2];276965636089;2022-08-13T13:55:40.314Z;2;1.78;BACK;1.56;Over 0.5 Goals;5851483;RB Leipzig v FC Koln;31539142;FIRST_HALF_GOALS_05;1.200330241;FIRST_HALF_GOALS_05
